,nid,infectado,antubicacion,ubicacion,tamanio,carga_viral,carga_viral2,infectado_paso,infecte_a,ultdx,ultdy,color,trayectoria
24,24,False,[97.88244062 99.89480557],[96.90487022 99.90644088],1,0,0,,0,0.9775704035981453,0.10471778415055744,lightcoral,"[(98.09246376052478, 99.59277521180874)]"
25,25,False,[46.39598275 83.28812837],[46.7057716  83.93416198],1,0,0,,0,0.30978885644136944,0.8306146378904385,mediumspringgreen,"[(46.24596681484979, 83.99980370997862)]"
26,26,False,[90.03226779 98.66818714],[90.22098432 98.42559804],1,0,0,,0,0.18871653146504463,0.43666038410244346,blanchedalmond,"[(90.95533564488969, 99.15576207201141)]"
27,27,False,[39.62117307 57.77687928],[39.33435641 57.73673254],1,0,0,,0,0.5162699889549366,0.07226414906439949,mediumturquoise,"[(39.81796466486333, 56.987347994370424)]"
28,28,False,[13.26815955 60.61160586],[13.79247045 60.3055941 ],1,0,0,,0,0.6741140169680429,0.5508211611271188,powderblue,"[(13.073762366230353, 61.00143831320193)]"
29,29,False,[92.87135462 36.36307496],[92.93703055 36.29247991],1,0,0,,0,0.08444047609550753,0.6353554606938328,lightgoldenrodyellow,"[(94.35599822347292, 37.26572423905378)]"
30,30,False,[39.78063596 93.48243102],[39.820206   93.49757551],1,0,0,,0,0.3561303623215082,0.019471495630460467,darkblue,"[(39.36839517952094, 92.78105184239443)]"
31,31,False,[96.57319124 29.99895058],[97.23894656 29.69254642],1,0,0,,0,0.6657553185837286,0.39394819538886183,lightpink,"[(96.94853241439553, 29.325260274001817)]"
32,32,False,[88.41127604 18.3666194 ],[88.71099028 18.88294469],1,0,0,,0,0.5394856295442084,0.6638467949942686,mediumaquamarine,"[(88.86819476214929, 17.96918309223756)]"
33,33,False,[33.56316925 62.13677882],[33.47478482 62.92683858],1,0,0,,0,0.2651532940568576,0.7900597616898349,skyblue,"[(33.67112104886078, 61.68615866033801)]"
34,34,False,[57.05100909 74.38001449],[56.96594085 73.95866254],1,0,0,,0,0.2552047048741486,0.5417382272233212,steelblue,"[(57.753967169441445, 75.26630503935824)]"
35,35,False,[44.72967677 26.68901017],[45.40931826 26.08501551],1,0,0,,0,0.8738247693041478,0.7765645613861335,lightcyan,"[(44.93252082729252, 26.70967874583658)]"
36,36,False,[39.1454952 40.2323848],[38.41814774 40.47695014],1,0,0,,0,0.7273474586265557,0.24456534442635636,linen,"[(39.922908366699495, 40.36770643284302)]"
37,37,False,[27.33210477 18.73601498],[27.27601578 19.11588437],1,0,0,,0,0.5048008449381319,0.6837649087490673,darkgrey,"[(28.71464443376662, 18.928992010644258)]"
38,38,False,[74.33678396 21.91386145],[73.8966953  21.71245069],1,0,0,,0,0.44008865250945406,0.6042322572836932,darkgrey,"[(75.04480079612483, 21.63911732927875)]"
39,39,False,[ 2.43261923 90.78053427],[ 3.25715603 91.02188868],1,0,0,,0,0.8245367992421402,0.7240632313920825,teal,"[(2.8186206139395256, 91.13313889747553)]"
40,40,False,[77.08289468 97.26740947],[77.17134505 97.01200614],1,0,0,,0,0.7960533160134542,0.45972598716782487,peru,"[(77.33904551150644, 97.11656600979582)]"
41,41,False,[ 3.31101074 99.25561472],[ 3.28698982 98.81824521],1,0,0,,0,0.2161883471292303,0.787265126391634,mediumorchid,"[(3.966138526750553, 99.72680978055553)]"
42,42,False,[51.17700357 63.21871274],[51.51465171 63.33708009],1,0,0,,0,0.6077666538890073,0.1521866032742598,chocolate,"[(51.46864077668025, 63.42933221239757)]"
43,43,False,[43.78769025  5.57407689],[43.69865106  5.24029735],1,0,0,,0,0.11447895585498435,0.6008031713046369,lime,"[(42.99783842227977, 4.887726946182631)]"
44,44,False,[98.09827677 53.9388901 ],[98.42714355 53.46368424],1,0,0,,0,0.3288667781877014,0.8553705435988188,tan,"[(97.43438590369034, 54.82508320877287)]"
45,45,False,[56.15427801 56.76741112],[56.23353023 56.508226  ],1,0,0,,0,0.7132700489753845,0.4665332094223468,darkgray,"[(56.54273177278605, 56.06680346138685)]"
46,46,False,[36.72960117 82.88754054],[35.82859152 82.40824138],1,0,0,,0,0.9010096436443424,0.8627384752464331,mediumvioletred,"[(37.39778714822172, 83.21828599102942)]"
47,47,False,[ 7.9844858 28.0901613],[ 7.53946781 28.25194576],1,0,0,,0,0.8010323865646892,0.48535336976698495,lightpink,"[(8.369447966052576, 27.925904902716134)]"
48,48,False,[71.76890972 36.20681708],[71.71536477 36.56758866],1,0,0,,0,0.4819045394775947,0.3607715764014279,white,"[(71.21324666703478, 35.85404234015005)]"
49,49,False,[14.68078615 68.57350695],[14.98238486 68.63677839],1,0,0,,0,0.3015987070110909,0.5694429568765943,lightskyblue,"[(14.730005993110492, 68.62102365734596)]"
50,50,False,[70.013899   55.74095122],[69.92493283 55.80688596],1,0,0,,0,0.8006955257878674,0.197804234432852,paleturquoise,"[(70.29849209968718, 57.03463454024556)]"
51,51,False,[53.15561421  0.14868811],[52.91413329  0.27518785],1,0,0,,0,0.4346656548078984,0.1264997390661874,darkorange,"[(50.91115141903317, 1.019042224230911)]"
52,52,False,[19.54620941 35.23492543],[18.88325381 35.1650876 ],1,0,0,,0,0.852371484256995,0.6285404504114848,lightyellow,"[(19.724592714062705, 35.640505921798876)]"
53,53,False,[27.21569462 37.18170288],[27.43792859 37.45674055],1,0,0,,0,0.22223396097306525,0.35361986348400753,mintcream,"[(26.065591001967768, 36.85280953808494)]"
54,54,False,[98.04094442 99.36884381],[97.29881385 99.16006241],1,0,0,,0,0.7421305745324814,0.26843323228823557,darkslateblue,"[(98.80142157348156, 99.53172081053704)]"
55,55,False,[97.50742333 41.72086289],[97.20921003 41.59701549],1,0,0,,0,0.5367839479691312,0.12384740667031247,brown,"[(97.79249897886575, 41.995264099814904)]"
56,56,False,[25.17731217 31.91261873],[25.26566039 31.8839064 ],1,0,0,,0,0.08834822507222584,0.25841096935973373,gray,"[(26.05512542438938, 31.491392757414836)]"
57,57,False,[93.39454255 14.3754185 ],[93.63898925 14.44275763],1,0,0,,0,0.7333400946126862,0.20201740509525945,mediumpurple,"[(93.04062226069232, 13.339927350934373)]"
58,58,False,[79.41322983 55.72602662],[79.24059069 56.23827104],1,0,0,,0,0.1726391385213768,0.6585999681529394,darksalmon,"[(80.05437819439602, 55.20504641275449)]"
59,59,False,[46.58136281 50.80892309],[46.54810565 50.87520808],1,0,0,,0,0.2993144203726562,0.5965648510585977,lightseagreen,"[(47.14582698163624, 51.324448413498125)]"
